Subject,Year,Question,Type,Style,Level
Agriculture,2024,Define zero grazing.,Structured,fill-in-the-blank question,High School
Computer Studies,2021,Define the term 'software.',Structured,fill-in-the-blank question,High School
Computer Studies,2021,State two input devices of a computer.,Structured,fill-in-the-blank question,High School
Computer Studies,2022,Explain three characteristics of a good computer file.,Essay,fill-in-the-blank question,High School
Computer Studies,2023,List two types of computer networks.,Structured,fill-in-the-blank question,High School
Computer Studies,2024,State one advantage of cloud storage.,Structured,fill-in-the-blank question,High School
Subject,,Question,Type,Style,University
Accounting In Business,,Which type of unemployment arises from a permanent reduction in demand for the products supplied by a single industry or group of industries with traditionally large workforces? A.Frictional B.Structural C.Cyclical D.Seasonal,Structured,multiple-choice question,University
Accounting In Business,,Which of the five fundamentals principles of the ACCA code of ethics and conduct imposes an obligation on members to comply with relevant laws and regulations and avoid any action that may bring discredit to the profession? This includes actions which a reasonable and informed third party,having knowledge of all relevant information,would conclude negatively affects the good reputation of the profession. A. Independence B. Objectivity C. Professional behaviour D. Professional competence and due care,University
Accounting In Business,,Which of the following is the correct sequence of the training process A. Training needs analysis,definition of learning requirements,panning training programs,University
Accounting In Business,,What does a decision support system (DSS) do to fulfil its function? A. Captures human expertise B. Combines data and analytical models C. Performs and records routine transactions D. Facilitates the creation and integration of new knowledge,Structured,multiple-choice question,University
b) In your role as marketing manager at Jasiri Enterprises,,"discuss FOUR considerations which you would make in the selection of a marketing channel. (8 Marks)""",Essay,fill-in-the-blank question,University
You are the marketing manager of a medium sized firm manufacturing and selling glass crystal and similar giftware. During the COVID 19 pandemic times have been tough,,"you are reflecting on your marketing information requirements for the new marketing initiative. Explain the stages you would undergo in conducting this research. (20 Marks)""",Essay,fill-in-the-blank question,University
f) Find the regression coefficient of Y on X and of X on Y on the basis of the following: ΣX=50,,X̄=5,Ȳ=6,ΣXY=350,University
Management Accounting,,"""1. A company is reviewing actual performance to budget to see where there are differences. The following standard information is relevant: £ per unit Selling price Direct materials Direct labour Fixed production overheads Variable production overheads Fixed selling costs Variable selling cost Total costs Budgeted sales units 3",000 Actual sales units 3,500 50 –– 4 16 5 10 1 1 –– 37 –– What was the favourable sales volume variance using marginal costing?,University
Management Accounting,,"""2. A company uses process costing to establish the cost per unit of its output. The following information was available for the last month: Input units 10",000 Output units 9,850 Opening stock 300 units,University
Management Accounting,,"""3. A company uses process costing to value its output. The following was recorded for the period: Input materials 2",000 units at £4.50 per unit Conversion costs £13,340 Normal loss 5% of input valued at £3 per unit Actual loss 150 units. There were no opening or closing stocks. What was the valuation of one unit of output to one decimal place?,University
D £36,,"000 favourable""",Multiple Choice,multiple-choice question,University
Category,,Question,Type,Style,University
Category,,Question,Type,Style,University
Computer Forensics,,Define computer forensics.,Structured,definition,University
Computer Forensics,,Explain the difference between computer forensics and cyber security investigation.,Structured,short-answer,University
Computer Forensics,,What are the main stages of a digital forensic investigation?,Structured,list,University
Computer Forensics,,Describe two key challenges faced during evidence acquisition in digital forensics.,Structured,short-answer,University
Computer Forensics,,Explain the importance of maintaining a chain of custody in computer forensics.,Structured,explanation,University
Simulation and Modelling,,Define Simulation.,Structured,definition,University
Simulation and Modelling,,Define Modelling.,Structured,definition,University
Simulation and Modelling,,With the aid of an example define a system in the context of simulation and modelling.,Structured,explanation,University
Simulation and Modelling,,List any four characteristics of a system.,Structured,list,University
Simulation and Modelling,,During simulation a student has realized that two systems behave differently — one where the response at time t=0 depends only on input at t=0,and another where the response depends also on past events. Categorize these systems accurately.,Structured,University
Simulation and Modelling,,Describe any two methods of storing lists in a computer system for simulation.,Structured,list,University
Business Process Management,,Explain the four dimensions of the devil’s quadrangle used in process performance measurement.,Essay,explanation,University
Business Process Management,,Explain two key reasons why we may need to analyse an AS-IS business process.,Structured,explanation,University
Business Process Management,,Explain four key sources of waste that may render an AS-IS process inefficient.,Structured,list,University
Business Process Management,,Using an example explain the value-added analysis approach.,Structured,explanation,University
Business Process Management,,Using examples,explain five re-design heuristics that are critical to the business process re-design process.,Essay,University
Probability and Statistics II,,A university bookstore claims that 50% of its customers are satisfied. Find the probability that in a sample of 600,less than 45% are satisfied.,Structured,University
Probability and Statistics II,,The amount of time X (in minutes) a bank teller spends with a customer follows an exponential distribution with mean 4 minutes. Determine the probability distribution function f(x).,Structured,formula,University
Probability and Statistics II,,Find the probability that a clerk spends between four and five minutes with a randomly selected customer.,Structured,calculation,University
Probability and Statistics II,,Determine the mean and variance of a random variable X with the given probability density function f(x) = (x^(α-1)e^(-x/β)) / (β^αΓ(α)) for x > 0.,Structured,calculation,University
Probability and Statistics II,,Marks of 500 candidates are normally distributed with mean 45 and SD 20. Given the pass mark is 41,estimate the number who passed.,Structured,University
Probability and Statistics II,,If 5% of the candidates obtained a distinction by scoring y marks or more,estimate the value of y.,Structured,University
Fundamentals of Financial Management,,Explain the concept “time value of money.”,Structured,definition,University
Fundamentals of Financial Management,,Jane invests Ksh. 100,000 at 8% quarterly compound interest for 5 years. Determine the maturity value.,Structured,University
Fundamentals of Financial Management,,How long does it take to triple Ksh. 60,000 at 9% compound rate per year?,Structured,University
Fundamentals of Financial Management,,Discuss the four main managerial finance functions.,Essay,explanation,University
Fundamentals of Financial Management,,With reference to agency theory,discuss three causes of conflict between shareholders and management and how they can be resolved.,Essay,University
Contract Law,,Aziz Ltd agreed to rebuild a ship for Blue for Kshs 700 million. Blue cancels the contract before completion. Discuss breach of contract based on this case.,Essay,discussion,University
Contract Law,,State general defences available for breach of contract.,Structured,list,University
Contract Law,,Discuss how undue influence differs from unconscionable conduct and its impact on genuine consent.,Essay,comparison,University
Contract Law,,"""With aid of decided cases","list the exceptions to the position that damages for mental distress are not awarded for commercial contracts.""",Essay,University
Contract Law,,Identify and illustrate three situations in which courts may imply terms into a contract,with aid of decided cases.,Essay,University
